| Location | File | Line | pCloud Reference | Purpose |
| src | frontend/src/pages/admin/ProductsManagement.jsx | 2388 | `...uploadedUrls.filter(u => !form.pcloudImageUrls.includes(u)),` | Unknown |
| src | frontend/src/pages/admin/ProductsManagement.jsx | 2420 | `// Also remove from pcloudImageUrls if it's there` | Unknown |
| src | frontend/src/pages/admin/ProductsManagement.jsx | 2421 | `pcloudImageUrls: prev.pcloudImageUrls.filter(u => u !== removedUrl),` | Unknown |
| src | frontend/src/pages/admin/ProductsManagement.jsx | 3004 | `{/* ── Section 3b: pCloud Download Link (Temporary — Dev/Testing Only) ─── */}` | Unknown |
| src | frontend/src/pages/admin/ProductsManagement.jsx | 3010 | `Temporary · pCloud` | Unknown |
| src | frontend/src/pages/admin/ProductsManagement.jsx | 3014 | `Paste a public pCloud link to the downloadable product file. This is stored in SQLite and returned securely after purchase verification. Migration-ready — only the URL needs to change when moving to R2 / S3.` | Unknown |
| src | frontend/src/pages/admin/ProductsManagement.jsx | 3018 | `placeholder="https://u.pcloud.link/publink/show?code=XXXXXXXX"` | pCloud direct image URL / folder link fetching |
| src | frontend/src/pages/admin/ProductsManagement.jsx | 3019 | `value={form.pcloudDownloadLink}` | pCloud download link metadata/reference field |
| src | frontend/src/pages/admin/ProductsManagement.jsx | 3020 | `onChange={(e) => handleChange('pcloudDownloadLink', e.target.value)}` | pCloud download link metadata/reference field |
| src | frontend/src/pages/admin/ProductsManagement.jsx | 3023 | `{form.pcloudDownloadLink && (` | pCloud download link metadata/reference field |
| src | frontend/src/pages/admin/ProductsManagement.jsx | 3030 | `{/* ── Section 3c: pCloud Image Links (Temporary — Dev/Testing Only) ──── */}` | Unknown |
| src | frontend/src/pages/admin/ProductsManagement.jsx | 3036 | `Temporary · pCloud` | Unknown |
| src | frontend/src/pages/admin/ProductsManagement.jsx | 3044 | `{form.pcloudImageUrls.length > 0 && (` | Unknown |
| src | frontend/src/pages/admin/ProductsManagement.jsx | 3046 | `{form.pcloudImageUrls.map((url, idx) => (` | Unknown |
| src | frontend/src/pages/admin/ProductsManagement.jsx | 3064 | `onClick={() => handleChange('pcloudImageUrls', form.pcloudImageUrls.filter((_, i) => i !== idx))}` | Unknown |
| src | frontend/src/pages/admin/ProductsManagement.jsx | 3079 | `placeholder="https://u.pcloud.link/publink/show?code=… or any image URL"` | pCloud direct image URL / folder link fetching |
| src | frontend/src/pages/admin/ProductsManagement.jsx | 3080 | `value={pcloudImageInput}` | Unknown |
